RuleID,Description
R0534,Users should not access /resource/2 between 12:00 and 13:00
R0535,Response time for accessing /resource/9 should be less than 500ms
R0536,Users should not delete /resource/4 more than 2 times in a day
R0537,Access to /resource/9 between 15:00 and 16:00 should be flagged
R0538,Users should not delete /resource/7 on weekends
R0539,Access to /resource/3 from SessionID 192.168.1.33 should be flagged
R0540,Modification of /resource/8 should always be from IP 192.168.1.6
R0541,Access to /resource/7 from SessionID 192.168.1.76 should be flagged
R0542,Any access from UserAgent /resource/9 should be reviewed
R0543,Access to /resource/5 should not be from IP 192.168.1.52
R0544,Users should not modify /resource/10
R0545,Access to /resource/9 should result in success
R0546,Users should not access /resource/8 between 12:00 and 13:00
R0547,Access to /resource/4 should not be from IP 192.168.1.50
R0548,Users should not delete /resource/3 on weekends
R0549,Users should not access /resource/1 between 12:00 and 13:00
R0550,Access to /resource/7 should result in success
R0551,Access to /resource/5 should not use the 192.168.1.72 method
R0552,Users should not delete /resource/7 more than 2 times in a day
R0553,Any access to /resource/3 resulting in a 192.168.1.90 response code should be reviewed
R0554,Modification of /resource/10 should always be from IP 192.168.1.51
R0555,Response time for accessing /resource/7 should be less than 500ms
R0556,Users should not access /resource/1 between 12:00 and 13:00
R0557,Users should not delete /resource/9 on weekends
R0558,Any access from UserAgent /resource/3 should be reviewed
R0559,Users should not modify /resource/2
R0560,Response time for accessing /resource/2 should be less than 500ms
R0561,Access to /resource/9 between 15:00 and 16:00 should be flagged
R0562,Access to /resource/3 between 15:00 and 16:00 should be flagged
R0563,Any access from UserAgent /resource/3 should be reviewed
R0564,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0565,Access to /resource/6 should result in success
R0566,Any access to /resource/2 resulting in a 192.168.1.2 response code should be reviewed
R0567,Access to /resource/5 should result in success
R0568,Access to /resource/9 should result in success
R0569,Access to /resource/5 from SessionID 192.168.1.97 should be flagged
R0570,Access to /resource/4 between 15:00 and 16:00 should be flagged
R0571,Users should not delete /resource/6 on weekends
R0572,Users should not access /resource/8 between 12:00 and 13:00
R0573,Users should not modify /resource/2
R0574,Access to /resource/4 should not be from IP 192.168.1.42
R0575,Access to /resource/6 should result in success
R0576,Modification of /resource/1 should always be from IP 192.168.1.69
R0577,Access to /resource/1 should not use the 192.168.1.35 method
R0578,Users should not access /resource/2 between 12:00 and 13:00
R0579,Users should not access /resource/9 between 12:00 and 13:00
R0580,Users should not delete /resource/1 more than 2 times in a day
R0581,Access from IP /resource/2 should be monitored
R0582,Access to /resource/5 between 15:00 and 16:00 should be flagged
R0583,Users should not delete /resource/1 on weekends
R0584,Access to /resource/6 between 15:00 and 16:00 should be flagged
R0585,Any access to /resource/3 resulting in a 192.168.1.64 response code should be reviewed
R0586,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0587,Users should not modify /resource/2
R0588,Users should not access /resource/4 between 12:00 and 13:00
R0589,Users should not delete /resource/6 more than 2 times in a day
R0590,Any access from UserAgent /resource/4 should be reviewed
R0591,Access to /resource/8 should result in success
R0592,Response time for accessing /resource/5 should be less than 500ms
R0593,Access to /resource/9 should result in success
R0594,Access to /resource/7 should not be from IP 192.168.1.60
R0595,Any access from UserAgent /resource/6 should be reviewed
R0596,Access to /resource/4 between 15:00 and 16:00 should be flagged
R0597,Modification of /resource/9 should always be from IP 192.168.1.18
R0598,Access to /resource/4 should not be from IP 192.168.1.94
R0599,Access to /resource/8 should not be from IP 192.168.1.58
R0600,Response time for accessing /resource/3 should be less than 500ms
R0601,Response time for accessing /resource/3 should be less than 500ms
R0602,Access to /resource/3 should not be from IP 192.168.1.82
R0603,Access to /resource/8 from SessionID 192.168.1.68 should be flagged
R0604,Any access to /resource/2 resulting in a 192.168.1.44 response code should be reviewed
R0605,Users should not delete /resource/4 more than 2 times in a day
R0606,Any access to /resource/7 resulting in a 192.168.1.49 response code should be reviewed
R0607,Response time for accessing /resource/2 should be less than 500ms
R0608,Access to /resource/3 should result in success
R0609,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0610,Access to /resource/4 should not use the 192.168.1.71 method
R0611,Access to /resource/4 should not be from IP 192.168.1.48
R0612,Users should not access /resource/1 between 12:00 and 13:00
R0613,Access to /resource/8 should result in success
R0614,Response time for accessing /resource/9 should be less than 500ms
R0615,Users should not access /resource/4 between 12:00 and 13:00
R0616,Users should not access /resource/5 more than 5 times in an hour
R0617,Users should not access /resource/6 more than 5 times in an hour
R0618,Users should not delete /resource/6 on weekends
R0619,Access to /resource/6 should not be from IP 192.168.1.1
R0620,Users should not access /resource/7 between 12:00 and 13:00
R0621,Access to /resource/10 should result in success
R0622,Access to /resource/5 should not use the 192.168.1.72 method
R0623,Users should not delete /resource/7 on weekends
R0624,Any access to /resource/4 resulting in a 192.168.1.14 response code should be reviewed
R0625,Access to /resource/3 should not use the 192.168.1.11 method
R0626,Users should not delete /resource/9 on weekends
R0627,Users should not modify /resource/4
R0628,Access to /resource/9 should not be from IP 192.168.1.72
R0629,Modification of /resource/6 should always be from IP 192.168.1.25
R0630,Access to /resource/9 should result in success
R0631,Access to /resource/4 should not be from IP 192.168.1.72
R0632,Users should not delete /resource/3 on weekends
R0633,Access to /resource/5 should result in success
R0634,Access to /resource/9 should not use the 192.168.1.62 method
R0635,Response time for accessing /resource/3 should be less than 500ms
R0636,Users should not delete /resource/2 on weekends
R0637,Users should not access /resource/7 more than 5 times in an hour
R0638,Users should not access /resource/4 more than 5 times in an hour
R0639,Response time for accessing /resource/5 should be less than 500ms
R0640,Any access to /resource/3 resulting in a 192.168.1.79 response code should be reviewed
R0641,Users should not delete /resource/6 on weekends
R0642,Access to /resource/6 between 15:00 and 16:00 should be flagged
R0643,Users should not delete /resource/7 more than 2 times in a day
R0644,Access to /resource/4 should result in success
R0645,Access to /resource/8 should result in success
R0646,Access to /resource/4 should not use the 192.168.1.62 method
R0647,Users should not delete /resource/8 more than 2 times in a day
R0648,Users should not delete /resource/3 more than 2 times in a day
R0649,Access to /resource/2 should not use the 192.168.1.23 method
R0650,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0651,Users should not modify /resource/5
R0652,Users should not access /resource/9 between 12:00 and 13:00
R0653,Access to /resource/5 should not be from IP 192.168.1.8
R0654,Response time for accessing /resource/6 should be less than 500ms
R0655,Access to /resource/9 from SessionID 192.168.1.56 should be flagged
R0656,Access to /resource/4 should not be from IP 192.168.1.10
R0657,Access to /resource/3 should not be from IP 192.168.1.10
R0658,Access from IP /resource/1 should be monitored
R0659,Users should not access /resource/10 between 12:00 and 13:00
R0660,Any access from UserAgent /resource/1 should be reviewed
R0661,Access to /resource/5 between 15:00 and 16:00 should be flagged
R0662,Access to /resource/5 should not use the 192.168.1.62 method
R0663,Access to /resource/10 should not use the 192.168.1.10 method
R0664,Access to /resource/5 should not use the 192.168.1.28 method
R0665,Users should not delete /resource/9 more than 2 times in a day
R0666,Access to /resource/10 should result in success
R0667,Access to /resource/6 from SessionID 192.168.1.64 should be flagged
R0668,Access to /resource/6 should not be from IP 192.168.1.71
R0669,Access to /resource/3 between 15:00 and 16:00 should be flagged
R0670,Users should not access /resource/2 between 12:00 and 13:00
R0671,Access to /resource/6 from SessionID 192.168.1.43 should be flagged
R0672,Users should not modify /resource/9
R0673,Access from IP /resource/2 should be monitored
R0674,Modification of /resource/6 should always be from IP 192.168.1.49
R0675,Users should not modify /resource/10
R0676,Users should not delete /resource/7 on weekends
R0677,Access to /resource/5 should result in success
R0678,Users should not delete /resource/5 on weekends
R0679,Access to /resource/4 from SessionID 192.168.1.81 should be flagged
R0680,Users should not delete /resource/3 more than 2 times in a day
R0681,Access to /resource/5 should not use the 192.168.1.73 method
R0682,Users should not delete /resource/2 on weekends
R0683,Access to /resource/4 from SessionID 192.168.1.16 should be flagged
R0684,Modification of /resource/9 should always be from IP 192.168.1.72
R0685,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0686,Access to /resource/10 should not be from IP 192.168.1.19
R0687,Access to /resource/4 between 15:00 and 16:00 should be flagged
R0688,Any access to /resource/6 resulting in a 192.168.1.20 response code should be reviewed
R0689,Access to /resource/2 should not be from IP 192.168.1.19
R0690,Users should not delete /resource/3 more than 2 times in a day
R0691,Any access from UserAgent /resource/1 should be reviewed
R0692,Access to /resource/8 from SessionID 192.168.1.23 should be flagged
R0693,Access to /resource/6 should result in success
R0694,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0695,Users should not delete /resource/4 on weekends
R0696,Users should not access /resource/4 between 12:00 and 13:00
R0697,Modification of /resource/8 should always be from IP 192.168.1.93
R0698,Response time for accessing /resource/2 should be less than 500ms
R0699,Users should not modify /resource/1
R0700,Access to /resource/10 should not be from IP 192.168.1.48
R0701,Access from IP /resource/5 should be monitored
R0702,Access to /resource/6 should not use the 192.168.1.15 method
R0703,Access to /resource/6 between 15:00 and 16:00 should be flagged
R0704,Access to /resource/4 between 15:00 and 16:00 should be flagged
R0705,Access to /resource/4 from SessionID 192.168.1.70 should be flagged
R0706,Users should not delete /resource/10 on weekends
R0707,Users should not delete /resource/3 more than 2 times in a day
R0708,Any access from UserAgent /resource/2 should be reviewed
R0709,Response time for accessing /resource/5 should be less than 500ms
R0710,Access to /resource/8 should result in success
R0711,Modification of /resource/5 should always be from IP 192.168.1.78
R0712,Users should not delete /resource/4 more than 2 times in a day
R0713,Users should not delete /resource/5 more than 2 times in a day
R0714,Access to /resource/2 from SessionID 192.168.1.37 should be flagged
R0715,Access to /resource/2 from SessionID 192.168.1.12 should be flagged
R0716,Users should not modify /resource/6
R0717,Access to /resource/7 should not use the 192.168.1.1 method
R0718,Users should not modify /resource/6
R0719,Access to /resource/7 from SessionID 192.168.1.1 should be flagged
R0720,Users should not modify /resource/2
R0721,Any access from UserAgent /resource/9 should be reviewed
R0722,Response time for accessing /resource/2 should be less than 500ms
R0723,Access to /resource/7 should result in success
R0724,Modification of /resource/1 should always be from IP 192.168.1.37
R0725,Users should not modify /resource/8
R0726,Users should not delete /resource/10 more than 2 times in a day
R0727,Users should not access /resource/2 between 12:00 and 13:00
R0728,Access from IP /resource/3 should be monitored
R0729,Access to /resource/8 should result in success
R0730,Access to /resource/2 between 15:00 and 16:00 should be flagged
R0731,Access to /resource/8 should result in success
R0732,Access to /resource/1 should not use the 192.168.1.2 method
R0733,Access to /resource/1 should not be from IP 192.168.1.57
R0734,Users should not delete /resource/8 on weekends
R0735,Access to /resource/1 from SessionID 192.168.1.34 should be flagged
R0736,Response time for accessing /resource/2 should be less than 500ms
R0737,Access from IP /resource/1 should be monitored
R0738,Access to /resource/6 between 15:00 and 16:00 should be flagged
R0739,Access to /resource/8 should not use the 192.168.1.53 method
R0740,Access to /resource/8 should not be from IP 192.168.1.87
R0741,Users should not delete /resource/6 more than 2 times in a day
R0742,Any access to /resource/1 resulting in a 192.168.1.37 response code should be reviewed
R0743,Access to /resource/8 should not be from IP 192.168.1.35
R0744,Users should not modify /resource/1
R0745,Access to /resource/2 from SessionID 192.168.1.13 should be flagged
R0746,Access to /resource/3 should not be from IP 192.168.1.85
R0747,Any access from UserAgent /resource/5 should be reviewed
R0748,Users should not delete /resource/3 on weekends
R0749,Any access to /resource/3 resulting in a 192.168.1.93 response code should be reviewed
R0750,Access from IP /resource/2 should be monitored
R0751,Response time for accessing /resource/10 should be less than 500ms
R0752,Any access from UserAgent /resource/7 should be reviewed
R0753,Access to /resource/7 between 15:00 and 16:00 should be flagged
R0754,Users should not access /resource/6 more than 5 times in an hour
R0755,Any access from UserAgent /resource/1 should be reviewed
R0756,Users should not delete /resource/5 on weekends
R0757,Access to /resource/4 should not use the 192.168.1.82 method
R0758,Any access to /resource/10 resulting in a 192.168.1.51 response code should be reviewed
R0759,Response time for accessing /resource/1 should be less than 500ms
R0760,Access to /resource/7 between 15:00 and 16:00 should be flagged
R0761,Modification of /resource/4 should always be from IP 192.168.1.96
R0762,Modification of /resource/1 should always be from IP 192.168.1.16
R0763,Any access from UserAgent /resource/8 should be reviewed
R0764,Modification of /resource/2 should always be from IP 192.168.1.9
R0765,Access to /resource/1 should result in success
R0766,Users should not delete /resource/5 on weekends
R0767,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0768,Access to /resource/7 from SessionID 192.168.1.31 should be flagged
R0769,Access to /resource/2 from SessionID 192.168.1.95 should be flagged
R0770,Any access to /resource/3 resulting in a 192.168.1.83 response code should be reviewed
R0771,Users should not delete /resource/3 more than 2 times in a day
R0772,Users should not access /resource/6 between 12:00 and 13:00
R0773,Modification of /resource/8 should always be from IP 192.168.1.13
R0774,Access to /resource/7 should result in success
R0775,Access to /resource/5 between 15:00 and 16:00 should be flagged
R0776,Users should not access /resource/1 more than 5 times in an hour
R0777,Any access from UserAgent /resource/9 should be reviewed
R0778,Users should not access /resource/1 between 12:00 and 13:00
R0779,Response time for accessing /resource/9 should be less than 500ms
R0780,Users should not modify /resource/1
R0781,Any access from UserAgent /resource/6 should be reviewed
R0782,Access from IP /resource/10 should be monitored
R0783,Access to /resource/9 should result in success
R0784,Access to /resource/6 between 15:00 and 16:00 should be flagged
R0785,Users should not access /resource/1 more than 5 times in an hour
R0786,Users should not access /resource/10 between 12:00 and 13:00
R0787,Modification of /resource/3 should always be from IP 192.168.1.25
R0788,Access to /resource/3 should result in success
R0789,Access to /resource/10 should not use the 192.168.1.97 method
R0790,Users should not access /resource/5 between 12:00 and 13:00
R0791,Users should not delete /resource/8 on weekends
R0792,Response time for accessing /resource/10 should be less than 500ms
R0793,Access to /resource/6 should result in success
R0794,Access to /resource/5 should not use the 192.168.1.23 method
R0795,Access from IP /resource/4 should be monitored
R0796,Users should not delete /resource/5 on weekends
R0797,Access to /resource/1 from SessionID 192.168.1.84 should be flagged
R0798,Users should not modify /resource/5
R0799,Access to /resource/3 should result in success
R0800,Response time for accessing /resource/4 should be less than 500ms
R0801,Access to /resource/8 should result in success
R0802,Access to /resource/9 should not be from IP 192.168.1.14
R0803,Any access from UserAgent /resource/3 should be reviewed
R0804,Users should not access /resource/8 between 12:00 and 13:00
R0805,Users should not access /resource/5 between 12:00 and 13:00
R0806,Access to /resource/4 between 15:00 and 16:00 should be flagged
R0807,Access from IP /resource/7 should be monitored
R0808,Access to /resource/7 should not be from IP 192.168.1.13
R0809,Users should not delete /resource/7 more than 2 times in a day
R0810,Any access from UserAgent /resource/6 should be reviewed
R0811,Response time for accessing /resource/7 should be less than 500ms
R0812,Access to /resource/3 from SessionID 192.168.1.55 should be flagged
R0813,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0814,Users should not delete /resource/6 more than 2 times in a day
R0815,Access to /resource/7 should not use the 192.168.1.37 method
R0816,Users should not modify /resource/9
R0817,Any access to /resource/4 resulting in a 192.168.1.56 response code should be reviewed
R0818,Response time for accessing /resource/1 should be less than 500ms
R0819,Access to /resource/8 should result in success
R0820,Any access to /resource/6 resulting in a 192.168.1.11 response code should be reviewed
R0821,Users should not delete /resource/9 more than 2 times in a day
R0822,Users should not modify /resource/4
R0823,Access to /resource/7 should not be from IP 192.168.1.35
R0824,Users should not access /resource/2 more than 5 times in an hour
R0825,Access to /resource/8 should not use the 192.168.1.45 method
R0826,Access from IP /resource/1 should be monitored
R0827,Access to /resource/3 from SessionID 192.168.1.8 should be flagged
R0828,Any access to /resource/4 resulting in a 192.168.1.29 response code should be reviewed
R0829,Access from IP /resource/7 should be monitored
R0830,Response time for accessing /resource/6 should be less than 500ms
R0831,Access to /resource/5 should not use the 192.168.1.87 method
R0832,Users should not access /resource/4 more than 5 times in an hour
R0833,Access to /resource/6 should not use the 192.168.1.80 method
R0834,Access to /resource/6 should not be from IP 192.168.1.46
R0835,Users should not delete /resource/8 more than 2 times in a day
R0836,Access to /resource/5 should not be from IP 192.168.1.69
R0837,Access to /resource/9 should not be from IP 192.168.1.35
R0838,Any access from UserAgent /resource/8 should be reviewed
R0839,Access to /resource/8 should result in success
R0840,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0841,Users should not modify /resource/6
R0842,Access to /resource/8 from SessionID 192.168.1.76 should be flagged
R0843,Users should not delete /resource/7 more than 2 times in a day
R0844,Response time for accessing /resource/3 should be less than 500ms
R0845,Any access to /resource/1 resulting in a 192.168.1.80 response code should be reviewed
R0846,Access to /resource/2 should result in success
R0847,Access from IP /resource/9 should be monitored
R0848,Access to /resource/5 should not use the 192.168.1.97 method
R0849,Any access to /resource/7 resulting in a 192.168.1.8 response code should be reviewed
R0850,Access from IP /resource/5 should be monitored
R0851,Access to /resource/6 should result in success
R0852,Users should not delete /resource/8 more than 2 times in a day
R0853,Users should not access /resource/2 more than 5 times in an hour
R0854,Any access to /resource/3 resulting in a 192.168.1.10 response code should be reviewed
R0855,Any access from UserAgent /resource/8 should be reviewed
R0856,Users should not modify /resource/5
R0857,Response time for accessing /resource/8 should be less than 500ms
R0858,Access to /resource/3 should result in success
R0859,Modification of /resource/1 should always be from IP 192.168.1.43
R0860,Access to /resource/5 from SessionID 192.168.1.64 should be flagged
R0861,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0862,Access to /resource/4 should result in success
R0863,Any access from UserAgent /resource/1 should be reviewed
R0864,Users should not access /resource/7 between 12:00 and 13:00
R0865,Access to /resource/1 should result in success
R0866,Users should not access /resource/3 between 12:00 and 13:00
R0867,Access to /resource/2 from SessionID 192.168.1.53 should be flagged
R0868,Any access from UserAgent /resource/4 should be reviewed
R0869,Response time for accessing /resource/6 should be less than 500ms
R0870,Access from IP /resource/5 should be monitored
R0871,Access to /resource/5 should not use the 192.168.1.33 method
R0872,Access to /resource/7 between 15:00 and 16:00 should be flagged
R0873,Access to /resource/5 should result in success
R0874,Any access from UserAgent /resource/1 should be reviewed
R0875,Any access to /resource/6 resulting in a 192.168.1.62 response code should be reviewed
R0876,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0877,Access to /resource/6 should result in success
R0878,Modification of /resource/4 should always be from IP 192.168.1.65
R0879,Access to /resource/7 should result in success
R0880,Users should not delete /resource/1 more than 2 times in a day
R0881,Access to /resource/8 should not use the 192.168.1.85 method
R0882,Users should not access /resource/7 between 12:00 and 13:00
R0883,Users should not delete /resource/4 on weekends
R0884,Response time for accessing /resource/2 should be less than 500ms
R0885,Users should not access /resource/2 more than 5 times in an hour
R0886,Any access to /resource/8 resulting in a 192.168.1.92 response code should be reviewed
R0887,Access to /resource/2 from SessionID 192.168.1.99 should be flagged
R0888,Users should not delete /resource/2 more than 2 times in a day
R0889,Access from IP /resource/10 should be monitored
R0890,Users should not delete /resource/10 on weekends
R0891,Users should not access /resource/10 more than 5 times in an hour
R0892,Users should not access /resource/6 between 12:00 and 13:00
R0893,Users should not access /resource/9 more than 5 times in an hour
R0894,Users should not delete /resource/2 on weekends
R0895,Access from IP /resource/8 should be monitored
R0896,Users should not modify /resource/10
R0897,Users should not modify /resource/2
R0898,Access to /resource/5 should result in success
R0899,Users should not delete /resource/4 on weekends
R0900,Access to /resource/2 between 15:00 and 16:00 should be flagged
R0901,Access to /resource/7 should not be from IP 192.168.1.19
R0902,Response time for accessing /resource/7 should be less than 500ms
R0903,Access to /resource/7 from SessionID 192.168.1.58 should be flagged
R0904,Access to /resource/6 should not use the 192.168.1.17 method
R0905,Users should not delete /resource/2 more than 2 times in a day
R0906,Users should not delete /resource/9 more than 2 times in a day
R0907,Any access to /resource/4 resulting in a 192.168.1.17 response code should be reviewed
R0908,Modification of /resource/2 should always be from IP 192.168.1.64
R0909,Access to /resource/4 between 15:00 and 16:00 should be flagged
R0910,Modification of /resource/10 should always be from IP 192.168.1.66
R0911,Users should not access /resource/3 more than 5 times in an hour
R0912,Users should not modify /resource/1
R0913,Users should not delete /resource/9 on weekends
R0914,Modification of /resource/10 should always be from IP 192.168.1.38
R0915,Access to /resource/1 from SessionID 192.168.1.49 should be flagged
R0916,Users should not access /resource/9 more than 5 times in an hour
R0917,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0918,Access to /resource/3 should not use the 192.168.1.79 method
R0919,Any access from UserAgent /resource/7 should be reviewed
R0920,Modification of /resource/8 should always be from IP 192.168.1.36
R0921,Access to /resource/4 should result in success
R0922,Any access from UserAgent /resource/7 should be reviewed
R0923,Any access to /resource/9 resulting in a 192.168.1.55 response code should be reviewed
R0924,Any access from UserAgent /resource/10 should be reviewed
R0925,Access from IP /resource/9 should be monitored
R0926,Access to /resource/3 from SessionID 192.168.1.73 should be flagged
R0927,Access to /resource/3 should not use the 192.168.1.45 method
R0928,Access from IP /resource/1 should be monitored
R0929,Users should not modify /resource/10
R0930,Access to /resource/2 between 15:00 and 16:00 should be flagged
R0931,Any access from UserAgent /resource/9 should be reviewed
R0932,Users should not modify /resource/8
R0933,Any access from UserAgent /resource/1 should be reviewed
R0934,Access from IP /resource/9 should be monitored
R0935,Access to /resource/6 should not be from IP 192.168.1.50
R0936,Users should not modify /resource/9
R0937,Any access to /resource/7 resulting in a 192.168.1.55 response code should be reviewed
R0938,Any access from UserAgent /resource/6 should be reviewed
R0939,Access to /resource/10 between 15:00 and 16:00 should be flagged
R0940,Users should not access /resource/5 more than 5 times in an hour
R0941,Access to /resource/5 should not use the 192.168.1.56 method
R0942,Users should not access /resource/10 more than 5 times in an hour
R0943,Any access to /resource/3 resulting in a 192.168.1.35 response code should be reviewed
R0944,Access to /resource/6 between 15:00 and 16:00 should be flagged
R0945,Access to /resource/10 from SessionID 192.168.1.17 should be flagged
R0946,Access to /resource/9 from SessionID 192.168.1.69 should be flagged
R0947,Any access to /resource/1 resulting in a 192.168.1.73 response code should be reviewed
R0948,Modification of /resource/1 should always be from IP 192.168.1.79
R0949,Users should not modify /resource/5
R0950,Access to /resource/7 between 15:00 and 16:00 should be flagged
R0951,Any access to /resource/7 resulting in a 192.168.1.28 response code should be reviewed
R0952,Access to /resource/3 between 15:00 and 16:00 should be flagged
R0953,Users should not delete /resource/8 on weekends
R0954,Access to /resource/2 should result in success
R0955,Response time for accessing /resource/1 should be less than 500ms
R0956,Users should not delete /resource/6 more than 2 times in a day
R0957,Access to /resource/9 between 15:00 and 16:00 should be flagged
R0958,Access to /resource/8 between 15:00 and 16:00 should be flagged
R0959,Access to /resource/8 should result in success
R0960,Users should not modify /resource/9
R0961,Access to /resource/2 from SessionID 192.168.1.100 should be flagged
R0962,Access to /resource/2 between 15:00 and 16:00 should be flagged
R0963,Any access from UserAgent /resource/9 should be reviewed
R0964,Access to /resource/1 should not use the 192.168.1.80 method
R0965,Users should not delete /resource/5 on weekends
R0966,Any access from UserAgent /resource/8 should be reviewed
R0967,Access to /resource/4 should result in success
R0968,Users should not modify /resource/7
R0969,Users should not modify /resource/7
R0970,Access to /resource/7 should not use the 192.168.1.16 method
R0971,Any access to /resource/10 resulting in a 192.168.1.76 response code should be reviewed
R0972,Response time for accessing /resource/9 should be less than 500ms
R0973,Access to /resource/9 should not use the 192.168.1.94 method
R0974,Any access to /resource/8 resulting in a 192.168.1.1 response code should be reviewed
R0975,Access from IP /resource/2 should be monitored
R0976,Users should not access /resource/1 more than 5 times in an hour
R0977,Users should not delete /resource/3 on weekends
R0978,Users should not delete /resource/10 more than 2 times in a day
R0979,Users should not delete /resource/10 more than 2 times in a day
R0980,Any access from UserAgent /resource/6 should be reviewed
R0981,Modification of /resource/7 should always be from IP 192.168.1.29
R0982,Access to /resource/10 should not be from IP 192.168.1.25
R0983,Access to /resource/1 should result in success
R0984,Access to /resource/2 should not be from IP 192.168.1.93
R0985,Access to /resource/6 between 15:00 and 16:00 should be flagged
R0986,Access to /resource/7 should result in success
R0987,Access to /resource/3 between 15:00 and 16:00 should be flagged
R0988,Access from IP /resource/2 should be monitored
R0989,Access to /resource/6 should not use the 192.168.1.62 method
R0990,Response time for accessing /resource/1 should be less than 500ms
R0991,Users should not modify /resource/7
R0992,Access to /resource/10 should not use the 192.168.1.53 method
R0993,Access to /resource/6 from SessionID 192.168.1.46 should be flagged
R0994,Modification of /resource/5 should always be from IP 192.168.1.54
R0995,Access to /resource/2 should not be from IP 192.168.1.70
R0996,Access to /resource/1 between 15:00 and 16:00 should be flagged
R0997,Access from IP /resource/10 should be monitored
R0998,Access to /resource/5 between 15:00 and 16:00 should be flagged
R0999,Access from IP /resource/2 should be monitored
R1000,Access to /resource/5 between 15:00 and 16:00 should be flagged
